,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
277,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,35-121,1985,8,4,456,5.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
278,Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,gn GUI,DF,Stuttgart,18-103,2002,1,0,13,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.14,0.14,0.00,0.14,Matches
279,Mateu Morey\Mateu-Morey,es ESP,DF,Dortmund,20-332,2000,6,4,372,4.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.02,0.06,0.08,0.02,0.08,Matches
280,Youssoufa Moukoko\Youssoufa-Moukoko,de GER,FW,Dortmund,16-069,2004,9,2,300,3.3,1,0,0,0,0,0,0.30,0.00,0.30,0.30,0.30,2.1,2.1,0.0,0.63,0.00,0.63,0.63,0.63,Matches
281,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,23-088,1997,14,12,869,9.7,1,1,0,0,3,0,0.10,0.10,0.21,0.10,0.21,1.5,1.5,1.1,0.15,0.11,0.27,0.15,0.27,Matches
282,Florian Müller\Florian-Muller,de GER,GK,Freiburg,23-076,1997,18,18,1620,18.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
283,Sebastian Müller\Sebastian-Muller,de GER,MFDF,Arminia,20-005,2001,2,0,4,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
284,Thomas Müller\Thomas-Muller,de GER,MF,Bayern Munich,31-137,1989,18,18,1580,17.6,9,9,1,1,0,0,0.51,0.51,1.03,0.46,0.97,4.7,4.0,6.9,0.27,0.39,0.66,0.23,0.62,Matches
285,Jamal Musiala\Jamal-Musiala,eng ENG,MFFW,Bayern Munich,17-337,2003,14,2,388,4.3,3,0,0,0,0,0,0.70,0.00,0.70,0.70,0.70,1.2,1.2,0.1,0.28,0.02,0.29,0.28,0.29,Matches
286,Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,26-365,1994,5,5,404,4.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.01,0.02,0.01,0.02,Matches
287,Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,21-161,1999,9,9,810,9.0,0,1,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.2,0.02,0.02,0.04,0.02,0.04,Matches
288,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,27-306,1993,13,12,1041,11.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.02,0.02,0.02,Matches
289,Paul Nebel\Paul-Nebel,de GER,MF,Mainz 05,18-110,2002,4,0,51,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
290,Luca Netz\Luca-Netz,de GER,DFMF,Hertha BSC,17-258,2003,5,1,150,1.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.06,0.00,0.06,Matches
291,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,34-307,1986,18,18,1620,18.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
292,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'Gladbach,23-318,1997,17,16,1330,14.8,3,4,0,0,6,0,0.20,0.27,0.47,0.20,0.47,1.4,1.4,1.2,0.10,0.08,0.18,0.10,0.18,Matches
293,Jessic Ngankam\Jessic-Ngankam,de GER,FW,Hertha BSC,20-192,2000,10,0,121,1.3,1,0,0,0,1,0,0.74,0.00,0.74,0.74,0.74,0.2,0.2,0.0,0.11,0.00,0.11,0.11,0.11,Matches
294,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,24-326,1996,16,16,1426,15.8,2,0,0,0,9,1,0.13,0.00,0.13,0.13,0.13,1.2,1.2,0.4,0.08,0.03,0.10,0.08,0.10,Matches
295,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,30-096,1990,16,12,993,11.0,2,2,0,0,2,1,0.18,0.18,0.36,0.18,0.36,3.3,3.3,1.8,0.30,0.16,0.46,0.30,0.46,Matches
296,Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,26-357,1994,9,8,722,8.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
297,Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,RB Leipzig,23-075,1997,13,7,789,8.8,2,1,0,0,2,0,0.23,0.11,0.34,0.23,0.34,2.6,2.6,2.8,0.29,0.32,0.62,0.29,0.62,Matches
298,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,30-221,1990,7,5,526,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches
