Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,2020-12-12,20:45 (01:15),Lazio,1.0,1–2,1.2,Hellas Verona,,Stadio Olimpico,Rosario Abisso,Match Report,
11,Sun,2020-12-13,12:45 (17:15),Cagliari,1.6,1–3,3.5,Inter,,Sardegna Arena,Fabrizio Pasqua,Match Report,
11,Sun,2020-12-13,15:00 (19:30),Atalanta,2.6,3–0,0.4,Fiorentina,,Stadio Atleti Azzurri d'Italia,Maurizio Mariani,Match Report,
11,Sun,2020-12-13,15:00 (19:30),Bologna,0.7,1–5,3.4,Roma,,Stadio Renato Dall'Ara,Giampaolo Calvarese,Match Report,
11,Sun,2020-12-13,15:00 (19:30),Napoli,1.1,2–1,1.1,Sampdoria,,Stadio San Paolo,Federico La Penna,Match Report,
11,Sun,2020-12-13,18:00 (22:30),Genoa,0.2,1–3,2.6,Juventus,,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
11,Sun,2020-12-13,20:45 (01:15),Milan,1.8,2–2,0.6,Parma,,Stadio Giuseppe Meazza,Francesco Fourneau,Match Report,
,,,,,,,,,,,,,
12,Tue,2020-12-15,18:30 (23:00),Udinese,1.1,0–0,0.2,Crotone,,Dacia Arena,Antonio Di Martino,Match Report,
12,Tue,2020-12-15,20:45 (01:15),Benevento,1.4,1–1,0.8,Lazio,,Stadio Ciro Vigorito,Luca Pairetto,Match Report,
12,Wed,2020-12-16,18:30 (23:00),Juventus,2.7,1–1,1.1,Atalanta,,Allianz Stadium,Daniele Doveri,Match Report,
12,Wed,2020-12-16,20:45 (01:15),Fiorentina,2.0,1–1,1.1,Sassuolo,,Stadio Artemio Franchi,Paolo Valeri,Match Report,
12,Wed,2020-12-16,20:45 (01:15),Genoa,1.2,2–2,1.5,Milan,,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
12,Wed,2020-12-16,20:45 (01:15),Spezia,3.7,2–2,2.0,Bologna,,Stadio Dino Manuzzi,Piero Giacomelli,Match Report,
12,Wed,2020-12-16,20:45 (01:15),Inter,1.1,1–0,1.7,Napoli,,Stadio Giuseppe Meazza,Davide Massa,Match Report,
12,Wed,2020-12-16,20:45 (01:15),Hellas Verona,1.4,1–2,0.7,Sampdoria,,Stadio Marc'Antonio Bentegodi,Riccardo Ros,Match Report,
12,Wed,2020-12-16,20:45 (01:15),Parma,1.0,0–0,0.3,Cagliari,,Stadio Ennio Tardini,Ivan Pezzuto,Match Report,
12,Thu,2020-12-17,20:45 (01:15),Roma,2.6,3–1,1.5,Torino,,Stadio Olimpico,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
13,Sat,2020-12-19,15:00 (19:30),Fiorentina,1.2,1–1,1.1,Hellas Verona,,Stadio Artemio Franchi,Francesco Fourneau,Match Report,
13,Sat,2020-12-19,18:00 (22:30),Sampdoria,1.9,3–1,0.9,Crotone,,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Match Report,
13,Sat,2020-12-19,20:45 (01:15),Parma,0.7,0–4,2.5,Juventus,,Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,
13,Sun,2020-12-20,12:30 (17:00),Torino,0.9,1–1,1.6,Bologna,,Stadio Olimpico di Torino,Fabrizio Pasqua,Match Report,
13,Sun,2020-12-20,15:00 (19:30),Inter,1.8,2–1,0.8,Spezia,,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
13,Sun,2020-12-20,15:00 (19:30),Benevento,1.6,2–0,0.3,Genoa,,Stadio Ciro Vigorito,Antonio Giua,Match Report,
13,Sun,2020-12-20,15:00 (19:30),Cagliari,0.5,1–1,1.4,Udinese,,Sardegna Arena,Marco Piccinini,Match Report,
13,Sun,2020-12-20,15:00 (19:30),Sassuolo,0.9,1–2,1.5,Milan,,Stadio Città del Tricolore,Maurizio Mariani,Match Report,
13,Sun,2020-12-20,18:00 (22:30),Atalanta,2.0,4–1,0.8,Roma,,Stadio Atleti Azzurri d'Italia,Marco Di Bello,Match Report,
13,Sun,2020-12-20,20:45 (01:15),Lazio,0.8,2–0,0.9,Napoli,,Stadio Olimpico,Daniele Orsato,Match Report,
